pkey,Rainfall events,Sites,Temperature. (℃),EC (ms/cm),Turbidity (NTU),TSS (Total Suspended Solids) (mg/L),pH,DO (mg/L),Salinity (psu),BOD5 (Biochemical Oxygen Demand)  (mg/L),COD (Chemical Oxygen Demand) (mg/L),E.coli (MPN/100ml),NH4-N (Ammonia Nitrogen) (mg/L),NO3--N (Nitrate Nitrogen) (mg/L),NO2--N (Nitrite Nitrogen) (mg/L),Total inorganic nitrogen (mg/L）,PO43- (Phosphate) (mg/L),Fluoride F-  (mg/L),Chloride Cl-  (mg/L),Sulphate SO₄²-  (mg/L),Bromide Br-  (mg/L),Total alkalinity  (mg/L),Hardness  (mg/L),Al,As,Cr,Cd,Pb,Zn,Cu,Fe,Mn,Ni,MP Abundance (particles/L)
49,9,A,19.2,0.82,226,343,7.37,3.04,0.456307325,21.87144144,152.5898724,5895.352536,1.5,3,0.115,4.615,9.7,3.042333333,95.4074,32.77516667,1.690266667,77.5,125,3.601114286,0.002004857,0.018894857,0.000252,0.030551143,0.698657143,0.233571429,3.981342857,0.101751429,0.00717,820
50,9,B,19.9,1.07,276,156.2,7.57,2.65,0.059247373,21.38,316.5829146,85016.92438,0.5,12.5,0.13,13.13,6.85,1.0621,111.4789667,36.30153333,2.227133333,115,191.6666667,0.846342857,0.001841143,0.013115143,0.000261429,0.017086286,0.698485714,0.376285714,1.383942857,0.053151429,0.007539429,440
51,9,C,19.8,6.11,223.5,319.6,7.52,2.45,0.332093812,20.52,447.0429068,25600.70606,0.4,7,0.305,7.705,10.05,1.269533333,1436.5147,13.4148,11.73883333,170,475,1.256914286,0.003073714,0.016668857,0.000551143,0.019808571,0.395485714,0.159171429,1.781657143,0.050734286,0.009980571,680
52,9,D,19.9,1.23,97.5,152,7.29,2.67,0.067397181,21.69,248.1638964,8504.89992,0.4,11,0.115,11.515,5.15,0.619866667,160.1851,10.64446667,2.5458,87.5,113.3333333,0.698571429,0.001338,0.010949143,0.000225429,0.013464,0.343885714,0.0888,0.380742857,0.03636,0.011048571,620
53,9,E,16.7,2.31,151,138.2,7.12,4.53,0.132460238,22.06664,287.5918052,39929.77126,1.45,8.5,0.355,10.305,2.75,0.927033333,520.4322333,23.90023333,5.523266667,80,268.3333333,0.801942857,0.001272,0.013714286,0.000188571,0.016276286,0.619028571,0.128571429,0.780257143,0.068382857,0.008808857,260
54,9,F,17.2,1.28,110.5,64.8,7.1,2.79,0.073489091,20.49,115.9644376,806.7570676,0.2,6,0.11,6.31,1.5,0.4987,208.3864333,10.43563333,2.537033333,55,120,1.003628571,0.001222286,0.011325429,0.0012,0.017025429,0.288771429,0.068228571,0.7386,0.033385714,0.0036,600
55,10,A,19.775,0.13,41.45,263.1333333,6.43,4.6175,0.07,20.07,77.5,19092.05129,0.7125,9.75,0.08125,10.54375,2.7125,0.1192875,18.7475,3.5560375,0.350425,44.375,36.66666667,0.15627,0.00060625,0.00259025,0.0000255,0.003453,0.14056,0.0359775,0.212395,0.020328,0.00200225,176
56,11,C,20.025,0.36775,14.68,66.5,6.9,5.875,0.196785882,19.48,16.25,21217.18527,0.1125,12.125,0.06125,12.29875,2.85,0.097591667,32.6025,4.463170833,0.554379167,38.75,25.83333333,0.144910417,0.000279167,0.00475,0.000003125,0.001377083,0.032467917,0.00800625,0.108160417,0.004613542,0.0002625,222.5
57,1,NR,19.5,0.005,1.495,4,6.88,7.53,0.010807541,1.41,0,33,0.2,0.65,0.007,0.857,0.06,0.0495,0.4295,0.5832,0,15,8.333333333,0.101434286,6.28571E-05,0.005724286,0,0.00027,0,0.002828571,0.017465714,0.000662857,0.000512857,30
58,2,NR,22.6,0.024,2.245,0,6.02,5.69,0.019037799,0.79960961,0,0,0.44,1.15,0.0235,1.6135,0.23,0.0394,1.6359,1.0291,0,10,15,0.012773571,0.000075,0.004635714,0,0.00115,0.006123571,0.006617857,0.011289286,0.000843571,0.000274286,50
59,3,NR,18.2,0.016,1.425,2.8,6.44,6.71,0.014944596,1.240990991,14.77272727,47.14045208,0.295,1.55,0.056,1.901,0.25,0,1.598166667,1.556333333,0,15,15,0.020245,0.000107143,0.008685714,0,0.000107857,0.020286429,0.002796429,0.005921429,0.005486429,0.001077857,140
60,4,NR,23.1,0.016,1.325,1.2,6.23,6.56,0.015886647,2.276936937,4.825263762,27.77777778,0.01,1,0.022,1.032,0.05,0.104866667,1.103866667,1.471033333,0,22.5,6.666666667,0.016794286,4.35714E-05,0.003989286,0,0.000247143,0,0.002807143,0.007341429,0.020078571,0.001492857,40
61,5,NR,25.3,0.01,0.7225,1.7,6.43,5.45,0.014200541,2.452,32.53588517,0,0.24,0.95,0.004,1.194,0.275,0,1.232566667,0.7158,0,10,6.666666667,0.019149429,6.85714E-05,0.005096571,2.82857E-05,0.000260571,0.077828571,0.004121143,0.008272286,0.003630857,0.000445714,10
62,6,NR,23.4,0.008,0.273,0.8,6.73,6.75,0.013039188,1.3509,0,0,0.15,1.05,0.006,1.206,0.085,0,0.5453,0.544766667,0,12.5,11.66666667,0.0066,1.71429E-05,0.004616571,0,0.000620571,0.007753714,0.004813714,0.005283429,0.001619143,0.000384857,260
63,7,NR,25.9,0.013,0.5695,13,6.03,10.21,0.015348255,1.15,34.38113949,0,0.03,1.65,0.006,1.686,0.04,0,1.5909,0.9432,0,20,28.33333333,0.024524571,0.000066,0.004970571,0.000172286,0.000377143,0.165549429,0.002046,0.017033143,0.024467143,0.002063143,160
64,8,NR,18.6,0.017,0.549,1.6,6.15,8.11,0.01547007,0.4299,8.593396653,2.357022604,0.06,0.6,0.0205,0.6805,0.145,0.1091,3.48765,1.03235,0.26165,17.5,20,0.004182857,8.57143E-06,0.013911429,0,0,0.005914286,0.005674286,0,0.003951429,0.003077143,20
65,9,NR,16.3,0.59,1.805,0.5,5.37,3.56,0.347457744,0.2948,29.76420564,0,0.145,0.9,0.007,1.052,0.125,0.012633333,1.968666667,2.958966667,0,10,25,0.021377143,0.000154286,0.013628571,0,0.000308571,0.070114286,0.039171429,0,0.005391429,0.001011429,160
66,10,NR,20,0.02,0.712,31.8,4.43,6.06,0.02,0.78,13.5,0,0.36,1.5,0.004,1.864,0.065,0.2145,0.26375,0.75855,0,25,0,0.03393,0.00011,0.012,0,0.00055,0.01434,0.00394,0,0.00795,0.00164,46
67,11,NR,20.5,0.55,0.4775,2.5,5.84,6.36,0.293538711,0.6,8,0,0.025,1.15,0.0045,1.1795,0.22,0.056566667,0.677133333,0.3326,0,15,5,0.004699167,0.000005,0.000115,0,2.91667E-05,0,0.000620833,0,0.002795833,0.000958333,7
